"Aegis Technologies Group, Inc., The - PES"									
Labor Category	Site	10/28/2012 - 10/27/2013	10/28/2013 - 2/5/2015	2/6/2015 - 4/11/2016	4/12/2016 - 10/28/2017	10/29/2017 - 3/31/2018	4/1/2018 - 3/31/2019	4/1/2019 - 3/31/2020	
Senior Engineer/ Scientist II	On	162.04	171.86	177.45	183.22	189.17	195.32		
Senior Engineer/ Scientist IV	On	227.47	241.26	249.1	257.2	265.56	274.19		
Senior Engineer/Scientist III	On	176.27	186.95	193.03	199.3	205.78	212.47		
Tech I	On	44.69	47.39	48.93	50.52	52.16	53.86		
Tech II	On	56.29	59.7	61.64	63.64	65.71	67.85		
									
"Dynetics, Inc. - IT"									
Labor Category	Site	12/11/2012 - 12/10/2013	12/11/2013 - 12/10/2014	12/11/2014 - 12/10/2015	12/11/2015 - 12/10/2016	12/11/2016 - 12/10/2017	12/11/2017 - 12/10/2018	12/11/2018 - 12/10/2019	
Subject Matter Expert I	Off	206.55	214.81	223.4	232.34	241.63	251.3	261.35	
Subject Matter Expert I	On	168.2	174.92	181.92	189.2	196.77	204.64	212.82	
Tech I	Off	46.84	45.43	46.29	47.17	48.07	48.98	49.96	
Tech II	Off	72.29	70.12	71.45	72.81	74.19	75.6	77.11	
									
"Dynetics, Inc. - PES"									
Labor Category	Site	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019		
Admin II	On	44.44	47.13	48.66	50.24	51.87	53.56		
Admin II	Off	48.52	49.01	50.61	52.25	53.95	55.7		
Admin III	Off	60.21	60.82	62.79	64.83	66.94	69.12		
Admin III	On	53.31	56.54	58.38	60.28	62.24	64.26		
Engineer/Scientist I	On	56.15	59.56	61.5	63.5	65.56	67.69		
Engineer/Scientist I	Off	68.96	69.66	71.92	74.26	76.67	79.16		
Engineer/Scientist II	Off	87.61	88.49	91.37	94.34	97.41	100.58		
Engineer/Scientist II	On	71.34	75.66	78.12	80.66	83.28	85.99		
Engineer/Scientist III	On	87.02	93.24	96.27	99.4	102.63	105.97		
Engineer/Scientist III	Off	103.61	109.06	112.6	116.26	120.04	123.94		
Engineer/Scientist IV	Off	118.99	127.71	132.31	137.08	142.01	147		
Engineer/Scientist IV	On	102.16	109.65	113.6	117.69	121.72	125.68		
Program Analyst I	Off	69.63	70.33	72.61	74.97	77.41	79.93		
Program Analyst I	On	64.64	68.56	70.79	73.09	75.47	77.92		
Program Analyst IV	Off	91.57	98.27	101.81	105.47	109.27	113.21		
Program Analyst IX	Off	138.23	148.35	153.69	159.23	164.96	170.9		
Program Analyst IX	On	127.56	136.91	141.84	146.95	152.24	157.72		
Program Analyst VI	On	99.33	106.62	110.46	114.44	118.56	122.83		
Program Analyst VI	Off	103.32	110.89	114.88	119.02	123.3	127.74		
Senior Engineer/ Scientist I	On	120.81	129.67	134.33	139.17	144.18	149.37		
Senior Engineer/ Scientist I	Off	128.57	137.99	142.96	148.1	153.44	158.96		
