"Aegis Technologies Group, Inc., The - PSS"							
Labor Category	Site	10/29/2017 - 10/28/2018	10/29/2018 - 10/28/2019	10/29/2019 - 10/28/2020	10/29/2020 - 10/28/2021	10/29/2021 - 10/28/2022	10/29/2022 - 10/28/2023
Administrative Support 2	Off	42.41	43.05	43.69	44.34	45.01	45.68
Engineer 2	On	69.01	70.04	71.09	72.16	73.24	74.34
Engineer 2	Off	70.43	71.49	72.56	73.65	74.75	75.87
Engineer 3	Off	88.19	89.52	90.86	92.23	93.61	95.02
Engineer 4	On	100.36	101.86	103.39	104.94	106.51	108.11
Engineer 4	Off	104.58	106.15	107.74	109.36		112.66
Engineer 5	Off	124.12	125.98	127.87	129.79	131.74	133.72
Program Analyst 3	Off	86.04	87.33	88.63	89.96	91.31	92.67
Program Analyst 4	On	87.36	88.67		91.34	92.71	94.1
Program Analyst 4	Off	89.16	90.5	91.85	93.23	94.62	96.04
Program Analyst 5	Off	95.62	97.06	98.51	99.99	101.49	103.02
Program Analyst 6	On	98.98	100.46	101.97	103.5	105.05	106.63
Program Analyst 6	Off	103.15	104.69	106.27	107.86	109.47	111.12
Program Analyst 8	Off	118.31	120.08	121.88	123.71	125.56	127.44
Program Analyst 9	Off	132.96	134.95	136.97	139.03	141.11	143.23
Senior Engineer 1	Off	137.23	139.29	141.38	143.5	145.65	147.84
Senior Engineer 2	Off	154.78	157.1	159.46	161.86	164.28	166.75
Senior Engineer 3	On	164.98	167.45	169.96	172.51	175.1	177.73
Senior Engineer 3	Off	168.38	170.9	173.47	176.07	178.71	181.4
Senior Engineer 4	Off	198.3	201.27	204.29	207.36	210.46	213.62
Technician 2	Off	52.36	53.14	53.95	54.76	55.58	56.41
							
"Signature Solutions, Inc. - PSS"							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Engineer 2	On	69.01	70.04	71.09	72.16	73.24	74.34
Program Analyst 1	On	64.5	65.46	66.45	67.44	68.46	69.48
Program Analyst 1	Off	64.83	65.8	66.79	67.79	68.81	69.83
Program Analyst 3	On	84.3	85.56	86.84	88.14	89.46	90.8
Program Analyst 6	On	98.98	100.46	101.97	103.5	105.05	106.63
Program Analyst 8	On	115.92	117.65	119.42	121.21	123.03	124.87
Program Analyst 9	On	130.27	132.22	134.2	136.22	138.26	140.34
Senior Engineer 2	On	151.65	153.93	156.24	158.59	160.96	163.38
Senior Engineer 3	On	164.98	167.45	169.96	172.51	175.1	177.73
Senior Engineer 4	On	197.3	200.25	203.25	206.31	209.4	212.54
Technician 2	On	51.3	52.07	52.86	53.65	54.46	55.27
Technician 2	Off	52.36	53.14	53.95	54.76	55.58	56.41
							
"Simulation Technologies, Inc. - PSS"							
