"Aegis Technologies Group, Inc., The - PES"							
Labor Category	Site	8/26/2011 - 8/25/2012	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	
Labor Category	Site	2/17/2012 - 2/16/2013	2/17/2013 - 2/16/2014	2/17/2014 - 2/16/2015	2/17/2015 - 2/16/2016	2/17/2016 - 2/16/2017	2/17/2017 - 2/16/2018
"PES-01, Senior Principal Program Manager"	Off		257.66	265.65	265.65	272.56	279.64
"PES-09,Senior Principal Engineer/Analyst"	On	143.61	148.06	152.65	152.65	156.62	160.69
"PES-09,Senior Principal Engineer/Analyst"	Off	166.11	171.26	176.57	176.57	181.16	185.87
PES-10 Principal Engineer/Analyst	Off		149.12	153.74	153.74	157.74	161.84
PES-11 Senior Engineer/Analyst	Off	112.92	116.42	120.03	120.03	123.15	126.35
PES-13 Engineer/Analyst II	On	72.8	75.06	77.39	77.39	79.4	81.47
PES-13 Engineer/Analyst II	Off	84.21	86.82	89.51	89.51	91.84	94.23
PES-14 Engineer/Analyst III	On	63.32	65.28	67.3	67.3	69.05	70.85
PES-14 Engineer/Analyst III	Off	73.23	75.5	77.84	77.84	79.86	81.94
PES-28 Sr. Principal Scientist	On		179.06	184.61	184.61	189.41	194.33
PES-28 Sr. Principal Scientist	Off	200.88	207.11	213.53	213.53	219.08	224.78
PES-29 Principal Scientist	On		142.95	147.38	147.38	151.21	155.14
PES-30 Sr. Scientist	On		127.25	131.2	131.2	134.61	138.11
PES-30 Sr. Scientist	Off		147.18	151.75	151.75	155.7	159.74
PES-31 Scientist I	On	107.79	111.13	114.57	114.57	117.55	120.61
PES-31 Scientist I	Off		128.53	132.52	132.52	135.97	139.5
PES-32 Scientist II	On	94.9	97.84	100.87	100.87	103.49	106.18
PES-32 Scientist II	Off		113.16	116.67	116.67	119.7	122.82
PES-33 Scientist III	On	80.97	83.48	86.07	86.07	88.31	90.6
PES-33 Scientist III	Off		96.55	99.55	99.55	102.14	104.79
PES-35 Sr. Management Technical Staff I	On	155.96	160.79	165.78	165.78	170.09	174.51
PES-37 Sr. Management Technical Staff III	On	129.77	133.79	137.94	137.94	141.53	145.21
PES-53 Program Management Analyst I	On	95.98	98.96	102.02	102.02	104.67	107.39
PES-60 * Intermediate Technical Specialist	On	63.9	65.88	67.92	67.92	69.69	71.5
PES-60 * Intermediate Technical Specialist	Off	73.91	76.2	78.56	78.56	80.6	82.7
PES-61 * Technical Specialist	On	49.95	51.5	53.1	53.1	54.48	55.9
PES-61 * Technical Specialist	Off	57.77	59.57	61.41	61.41	63.01	64.64
							
"Gleason Research Associates, Inc. - PES"							
Labor Category	Site	7/29/2011 - 1/24/2013	1/25/2013 - 7/28/2013	7/29/2013 - 7/28/2014	7/29/2014 - 7/28/2015	7/29/2015 - 7/28/2016	7/29/2016 - 7/28/2017
Engineer Scientist - L1	On	165.28	168.26	173.48	178.86	184.4	190.12
Engineer Scientist - L2	On	130.87	134.65	138.82	143.12	147.56	152.13
Engineer Scientist - L3	On	110.77	114.2	117.74	121.39	125.15	129.03
Engineer Scientist - L4	On	100.2	103.31	106.51	109.81	113.21	116.72
Engineer Scientist - L5	On	76.3	78.67	81.11	83.62	86.21	88.88
Engineer Scientist - L6	On	42.88	39.66	40.89	42.16	43.47	44.82
Research Engineer Scientist - L1	On	214.73	219.72	226.53	233.55	240.79	248.25
Subject Matter Expert - L2	On	182.56	187.2	193	198.98	205.15	211.51
Technical Assistant L-1	On	82.67	85.23	87.87	90.59	93.4	96.3
							
"Hathaway Defense, Inc - PES"							
Labor Category	Site	8/26/2011 - 8/25/2012	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	
Admin III	On	48.89	50.65	54.36	56.31	58.34	
Engineer/Scientist I	On	51.49	53.34	57.25	59.31	61.45	
Engineer/Scientist II	On	65.41	67.77	72.74	75.35	78.07	
Program Analyst I	On	59.27	61.41	65.91	68.28	70.74	
Program Analyst III	On	87.38	90.53	97.17	100.66	104.29	
Program Analyst IV	On	91.47	94.76	101.71	105.37	109.16	
Program Analyst V	Off	121.64	126.01	133.99	138.34	142.84	
Senior Engineer/ Scientist I	Off	155.63	161.23	171.43	177	182.75	
Senior Engineer/ Scientist II	Off	182.46	189.03	201	207.53	214.27	
Senior Engineer/Scientist III	On	161.63	167.45	179.72	186.19	192.89	
Tech II	On	51.62	53.48	57.39	59.46	61.6	
							
"Intelligent Payload Solutions, Inc. - PES"							
Labor Category	Site	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017		
Admin I	Off	35.07	35.42	36.57	37.76		
Admin I	On	28.56	30.29	31.27	32.29		
Admin II	On	44.44	47.13	48.66	50.24		
Admin II	Off	48.52	49.01	50.61	52.25		
Engineer/Scientist I	Off	68.96	69.66	71.92	74.26		
Engineer/Scientist I	On	56.15	59.56	61.5	63.5		
Engineer/Scientist II	Off	87.61	88.49	91.37	94.34		
Engineer/Scientist II	On	71.34	75.66	78.12	80.66		
Engineer/Scientist III	On	87.91	93.24	96.27	99.4		
Engineer/Scientist IV	On	104.27	110.59	114.18	117.89		
Engineer/Scientist V	On	124.7	132.25	136.55	140.99		
Program Analyst I	On	64.64	68.56	70.79	73.09		
Program Analyst I	Off	69.63	70.33	72.61	74.97		
Program Analyst III	On	95.29	101.06	104.34	107.73		
Program Analyst IX	On	148.57	157.58	162.7	167.99		
Program Analyst V	On	108.01	114.56	118.28	122.12		
